"Year","replacecolumns","from","to"
1996,"label_cause","191","ncd_lri"
1997,"label_cause","191","ncd_lri"
1998,"label_cause","191","ncd_lri"
1990,"label_cause","192","ncd_lri"
1991,"label_cause","192","ncd_lri"
1992,"label_cause","192","ncd_lri"
1993,"label_cause","192","ncd_lri"
1994,"label_cause","192","ncd_lri"
1995,"label_cause","192","ncd_lri"
1996,"label_cause","192","ncd_lri"
1997,"label_cause","192","ncd_lri"
1998,"label_cause","192","ncd_lri"
1990,"label_cause","193","ncd_lri"
1991,"label_cause","193","ncd_lri"
1992,"label_cause","193","ncd_lri"
1993,"label_cause","193","ncd_lri"
1994,"label_cause","193","ncd_lri"
1995,"label_cause","193","ncd_lri"
1996,"label_cause","193","ncd_lri"
1997,"label_cause","193","ncd_lri"
1998,"label_cause","193","ncd_lri"
1990,"label_cause","194","ncd_lri"
1991,"label_cause","194","ncd_lri"
1992,"label_cause","194","ncd_lri"
1993,"label_cause","194","ncd_lri"
1994,"label_cause","194","ncd_lri"
1995,"label_cause","194","ncd_lri"
1996,"label_cause","194","ncd_lri"
1997,"label_cause","194","ncd_lri"
1998,"label_cause","194","ncd_lri"
1990,"label_cause","195","ncd_lri"
1991,"label_cause","195","ncd_lri"
1992,"label_cause","195","ncd_lri"
1993,"label_cause","195","ncd_lri"
1994,"label_cause","195","ncd_lri"
1995,"label_cause","195","ncd_lri"
1996,"label_cause","195","ncd_lri"
1997,"label_cause","195","ncd_lri"
1998,"label_cause","195","ncd_lri"
1990,"label_cause","196","ncd_lri"
1991,"label_cause","196","ncd_lri"
1992,"label_cause","196","ncd_lri"
1993,"label_cause","196","ncd_lri"
1994,"label_cause","196","ncd_lri"
1995,"label_cause","196","ncd_lri"
1996,"label_cause","196","ncd_lri"
1997,"label_cause","196","ncd_lri"
1998,"label_cause","196","ncd_lri"
1990,"label_cause","197","ncd_lri"
1991,"label_cause","197","ncd_lri"
1992,"label_cause","197","ncd_lri"
1993,"label_cause","197","ncd_lri"
1994,"label_cause","197","ncd_lri"
1995,"label_cause","197","ncd_lri"
1996,"label_cause","197","ncd_lri"
1997,"label_cause","197","ncd_lri"
