"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"Ethnicity"	"Ethnicity Code"	"Race"	"Race Code"	Population
	"6 years"	"6"	"2008"	"2008"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	827718
	"6 years"	"6"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2232222
	"6 years"	"6"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	843117
	"6 years"	"6"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2234049
	"6 years"	"6"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	861997
	"6 years"	"6"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2243254
	"6 years"	"6"	"2011"	"2011"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	883312
	"6 years"	"6"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2209407
	"6 years"	"6"	"2012"	"2012"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	905519
	"6 years"	"6"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2195144
	"6 years"	"6"	"2013"	"2013"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	926244
	"6 years"	"6"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2191155
	"6 years"	"6"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	928580
	"6 years"	"6"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2168722
	"6 years"	"6"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	901643
	"6 years"	"6"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2104223
	"6 years"	"6"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	920154
	"6 years"	"6"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2093931
	"7 years"	"7"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	669925
	"7 years"	"7"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2495190
	"7 years"	"7"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	674935
